id,query,persona,primary_tag,year,notes
151,What are my 4 year results?,student,result,4,
152,Show my 4 year marks.,student,result,4,
153,Display marks for semester 3 of 4 year.,student,result,4,
154,I want my Data Structures marks for sem 4.,student,result,4,
155,Could you fetch my 4 year results for Operating Systems?,student,result,4,
156,My 4 year semester 6 grades please.,student,result,4,
157,How did I score in Mathematics in 7th sem?,student,result,4,
158,Result for Physics sem 8 of 4 year.,student,result,4,
159,"Marksheet for 4 year students, semester 1.",student,result,4,
160,"Get my grades for 4 year, Data Structures.",student,result,4,
161,What are my 4 year results?,student,result,4,
162,Show my 4 year marks.,student,result,4,
163,Display marks for semester 5 of 4 year.,student,result,4,
164,I want my Physics marks for sem 6.,student,result,4,
165,Could you fetch my 4 year results for Chemistry?,student,result,4,
166,My 4 year semester 8 grades please.,student,result,4,
167,How did I score in Operating Systems in 1th sem?,student,result,4,
168,Result for Economics sem 2 of 4 year.,student,result,4,
169,"Marksheet for 4 year students, semester 3.",student,result,4,
170,"Get my grades for 4 year, Physics.",student,result,4,
171,What are my 4 year results?,student,result,4,
172,Show my 4 year marks.,student,result,4,
173,Display marks for semester 7 of 4 year.,student,result,4,
174,I want my Economics marks for sem 8.,student,result,4,
175,Could you fetch my 4 year results for Mathematics?,student,result,4,
176,My 4 year semester 2 grades please.,student,result,4,
177,How did I score in Chemistry in 3th sem?,student,result,4,
178,Result for Data Structures sem 4 of 4 year.,student,result,4,
179,"Marksheet for 4 year students, semester 5.",student,result,4,
180,"Get my grades for 4 year, Economics.",student,result,4,
181,What are my 4 year results?,student,result,4,
182,Show my 4 year marks.,student,result,4,
183,Display marks for semester 1 of 4 year.,student,result,4,
184,I want my Data Structures marks for sem 2.,student,result,4,
185,Could you fetch my 4 year results for Operating Systems?,student,result,4,
186,My 4 year semester 4 grades please.,student,result,4,
187,How did I score in Mathematics in 5th sem?,student,result,4,
188,Result for Physics sem 6 of 4 year.,student,result,4,
189,"Marksheet for 4 year students, semester 7.",student,result,4,
190,"Get my grades for 4 year, Data Structures.",student,result,4,
191,What are my 4 year results?,student,result,4,
192,Show my 4 year marks.,student,result,4,
193,Display marks for semester 3 of 4 year.,student,result,4,
194,I want my Physics marks for sem 4.,student,result,4,
195,Could you fetch my 4 year results for Chemistry?,student,result,4,
196,My 4 year semester 6 grades please.,student,result,4,
197,How did I score in Operating Systems in 7th sem?,student,result,4,
198,Result for Economics sem 8 of 4 year.,student,result,4,
199,"Marksheet for 4 year students, semester 1.",student,result,4,
200,"Get my grades for 4 year, Physics.",student,result,4,
202,What is my timetable for Monday?,faculty,timetable,1,
203,Show timetable for 2 year.,student,timetable,2,
204,When is my next lecture?,student,timetable,3,
205,What's the schedule for Operating Systems this week?,student,timetable,4,
206,"Timetable for 1 year, semester 5.",student,timetable,1,
207,Give me today's timetable for 2 year.,student,timetable,2,
208,When do we have Mathematics lab for 3 year?,student,timetable,3,
209,Show classroom timings for 4 year on tomorrow.,student,timetable,4,
210,What's my schedule tomorrow?,student,timetable,1,
211,Where is my next class?,student,timetable,2,
212,What is my timetable for Wednesday?,faculty,timetable,3,
213,Show timetable for 4 year.,student,timetable,4,
214,When is my next lecture?,student,timetable,1,
215,What's the schedule for Physics this week?,student,timetable,2,
216,"Timetable for 3 year, semester 7.",student,timetable,3,
217,Give me today's timetable for 4 year.,student,timetable,4,
218,When do we have Chemistry lab for 1 year?,student,timetable,1,
219,Show classroom timings for 2 year on Tuesday.,student,timetable,2,
220,What's my schedule tomorrow?,student,timetable,3,
221,Where is my next class?,student,timetable,4,
222,What is my timetable for Friday?,faculty,timetable,1,
223,Show timetable for 2 year.,student,timetable,2,
224,When is my next lecture?,student,timetable,3,
225,What's the schedule for English this week?,student,timetable,4,
226,"Timetable for 1 year, semester 1.",student,timetable,1,
227,Give me today's timetable for 2 year.,student,timetable,2,
228,When do we have Data Structures lab for 3 year?,student,timetable,3,
229,Show classroom timings for 4 year on Thursday.,student,timetable,4,
230,What's my schedule tomorrow?,student,timetable,1,
231,Where is my next class?,student,timetable,2,
232,What is my timetable for today?,faculty,timetable,3,
233,Show timetable for 4 year.,student,timetable,4,
234,When is my next lecture?,student,timetable,1,
235,What's the schedule for Operating Systems this week?,student,timetable,2,
236,"Timetable for 3 year, semester 3.",student,timetable,3,
237,Give me today's timetable for 4 year.,student,timetable,4,
238,When do we have Mathematics lab for 1 year?,student,timetable,1,
239,Show classroom timings for 2 year on Saturday.,student,timetable,2,
240,What's my schedule tomorrow?,student,timetable,3,
241,Where is my next class?,student,timetable,4,
242,What is my timetable for Monday?,faculty,timetable,1,
243,Show timetable for 2 year.,student,timetable,2,
244,When is my next lecture?,student,timetable,3,
245,What's the schedule for Physics this week?,student,timetable,4,
246,"Timetable for 1 year, semester 5.",student,timetable,1,
247,Give me today's timetable for 2 year.,student,timetable,2,
248,When do we have Chemistry lab for 3 year?,student,timetable,3,
249,Show classroom timings for 4 year on tomorrow.,student,timetable,4,
250,What's my schedule tomorrow?,student,timetable,1,
251,Where is my next class?,student,timetable,2,
252,What is my timetable for Wednesday?,faculty,timetable,3,
253,Show timetable for 4 year.,student,timetable,4,
254,When is my next lecture?,student,timetable,1,
255,What's the schedule for English this week?,student,timetable,2,
256,"Timetable for 3 year, semester 7.",student,timetable,3,
257,Give me today's timetable for 4 year.,student,timetable,4,
258,When do we have Data Structures lab for 1 year?,student,timetable,1,
259,Show classroom timings for 2 year on Tuesday.,student,timetable,2,
260,What's my schedule tomorrow?,student,timetable,3,
261,Where is my next class?,student,timetable,4,
262,What is my timetable for Friday?,faculty,timetable,1,
263,Show timetable for 2 year.,student,timetable,2,
264,When is my next lecture?,student,timetable,3,
265,What's the schedule for Operating Systems this week?,student,timetable,4,
266,"Timetable for 1 year, semester 1.",student,timetable,1,
267,Give me today's timetable for 2 year.,student,timetable,2,
268,When do we have Mathematics lab for 3 year?,student,timetable,3,
269,Show classroom timings for 4 year on Thursday.,student,timetable,4,
270,What's my schedule tomorrow?,student,timetable,1,
271,Where is my next class?,student,timetable,2,
272,What is my timetable for today?,faculty,timetable,3,
273,Show timetable for 4 year.,student,timetable,4,
274,When is my next lecture?,student,timetable,1,
275,What's the schedule for Physics this week?,student,timetable,2,
276,"Timetable for 3 year, semester 3.",student,timetable,3,
277,Give me today's timetable for 4 year.,student,timetable,4,
278,When do we have Chemistry lab for 1 year?,student,timetable,1,
279,Show classroom timings for 2 year on Saturday.,student,timetable,2,
280,What's my schedule tomorrow?,student,timetable,3,
281,Where is my next class?,student,timetable,4,
282,What is my timetable for Monday?,faculty,timetable,1,
283,Show timetable for 2 year.,student,timetable,2,
284,When is my next lecture?,student,timetable,3,
285,What's the schedule for English this week?,student,timetable,4,
286,"Timetable for 1 year, semester 5.",student,timetable,1,
287,Give me today's timetable for 2 year.,student,timetable,2,
288,When do we have Data Structures lab for 3 year?,student,timetable,3,
289,Show classroom timings for 4 year on tomorrow.,student,timetable,4,
290,What's my schedule tomorrow?,student,timetable,1,
291,Where is my next class?,student,timetable,2,
292,What is my timetable for Wednesday?,faculty,timetable,3,
293,Show timetable for 4 year.,student,timetable,4,
294,When is my next lecture?,student,timetable,1,
295,What's the schedule for Operating Systems this week?,student,timetable,2,
296,"Timetable for 3 year, semester 7.",student,timetable,3,
297,Give me today's timetable for 4 year.,student,timetable,4,
298,When do we have Mathematics lab for 1 year?,student,timetable,1,
299,Show classroom timings for 2 year on Tuesday.,student,timetable,2,
300,What's my schedule tomorrow?,student,timetable,3,
301,Where is my next class?,student,timetable,4,
302,What is my timetable for Friday?,faculty,timetable,1,
303,Show timetable for 2 year.,student,timetable,2,
304,When is my next lecture?,student,timetable,3,
305,What's the schedule for Physics this week?,student,timetable,4,
306,"Timetable for 1 year, semester 1.",student,timetable,1,
307,Give me today's timetable for 2 year.,student,timetable,2,
308,When do we have Chemistry lab for 3 year?,student,timetable,3,
309,Show classroom timings for 4 year on Thursday.,student,timetable,4,
310,What's my schedule tomorrow?,student,timetable,1,
311,Where is my next class?,student,timetable,2,
312,What is my timetable for today?,faculty,timetable,3,
313,Show timetable for 4 year.,student,timetable,4,
314,When is my next lecture?,student,timetable,1,
315,What's the schedule for English this week?,student,timetable,2,
316,"Timetable for 3 year, semester 3.",student,timetable,3,
317,Give me today's timetable for 4 year.,student,timetable,4,
318,When do we have Data Structures lab for 1 year?,student,timetable,1,
319,Show classroom timings for 2 year on Saturday.,student,timetable,2,
320,What's my schedule tomorrow?,student,timetable,3,
321,Where is my next class?,student,timetable,4,
322,Can you show my 3rd year marks and next lecture?,student,result;timetable,3,multi-intent; ambiguous
323,My timetable and result for second year please,student,result;timetable,2,multi-intent; ambiguous
324,Where is my Monday lab and how did I perform in it?,student,timetable;result,3,multi-intent
325,Show results for 1st year and the timetable for exams,admin,result;timetable,1,multi-intent; admin action
326,Next class timings for Data Structures,student,timetable,3,ambiguous: next vs weekly
327,When will the 4th sem results be published?,student,result,4,publication date intent
328,I need my marksheet for final year,student,result,4,final year wording
329,Schedule for lab sessions across this semester,faculty,timetable,2,faculty perspective
330,Exam timetable for third year students,student,timetable,3,exam timetable vs regular
331,Show my grades and next lecture schedule,student,result;timetable,2,multi-intent
332,Are there any timetable updates for 1st year?,admin,timetable,1,updates
333,Where can I see the results for semester 2 exams?,student,result,2,explicit exams
334,Today's schedule for semester 4 (any rescheduled classes?),student,timetable,4,reschedule
335,Provide marks for the last semester and the timetable for next week,student,result;timetable,3,multi-intent
336,Show timetable and faculty assignments for 2nd year,admin,timetable,2,admin
337,I want my cumulative grades and the next class location,student,result;timetable,4,multi-intent
338,Get me the timetable for Monday and my marks in Physics,student,timetable;result,1,multi-intent
339,Publish 3rd year results and update timetable,admin,result;timetable,3,admin action
340,Where are my semester 1 marks stored?,student,result,1,storage intent
341,Is there a timetable clash with my exam schedule?,student,timetable,3,conflict detection
